week,topic,activity,momentum
2026-06-22,Art & Culture,0,-1.0
2026-06-29,Art & Culture,0,-1.0
2022-10-03,Climate & Environment,0,
2022-10-10,Climate & Environment,0,
2022-10-17,Climate & Environment,0,
2022-10-24,Climate & Environment,0,
2022-10-31,Climate & Environment,0,
2022-11-07,Climate & Environment,0,
2022-11-14,Climate & Environment,0,
2022-11-21,Climate & Environment,0,
2022-11-28,Climate & Environment,0,
2022-12-05,Climate & Environment,0,
2022-12-12,Climate & Environment,0,
2022-12-19,Climate & Environment,0,-1.0
2022-12-26,Climate & Environment,0,-1.0
2023-01-02,Climate & Environment,0,-1.0
2023-01-09,Climate & Environment,0,-1.0
2023-01-16,Climate & Environment,0,-1.0
2023-01-23,Climate & Environment,0,-1.0
2023-01-30,Climate & Environment,0,-1.0
2023-02-06,Climate & Environment,0,-1.0
2023-02-13,Climate & Environment,0,-1.0
2023-02-20,Climate & Environment,0,-1.0
2023-02-27,Climate & Environment,0,-1.0
2023-03-06,Climate & Environment,0,-1.0
2023-03-13,Climate & Environment,0,-1.0
2023-03-20,Climate & Environment,0,-1.0
2023-03-27,Climate & Environment,0,-1.0
2023-04-03,Climate & Environment,0,-1.0
2023-04-10,Climate & Environment,0,-1.0
2023-04-17,Climate & Environment,0,-1.0
2023-04-24,Climate & Environment,0,-1.0
2023-05-01,Climate & Environment,0,-1.0
2023-05-08,Climate & Environment,0,-1.0
2023-05-15,Climate & Environment,0,-1.0
2023-05-22,Climate & Environment,0,-1.0
2023-05-29,Climate & Environment,0,-1.0
2023-06-05,Climate & Environment,0,-1.0
2023-06-12,Climate & Environment,0,-1.0
2023-06-19,Climate & Environment,0,-1.0
2023-06-26,Climate & Environment,0,-1.0
2023-07-03,Climate & Environment,0,-1.0
2023-07-10,Climate & Environment,0,-1.0
2023-07-17,Climate & Environment,0,-1.0
2023-07-24,Climate & Environment,0,-1.0
2023-07-31,Climate & Environment,0,-1.0
2023-08-07,Climate & Environment,0,-1.0
2023-08-14,Climate & Environment,0,-1.0
2023-08-21,Climate & Environment,0,-1.0
2023-08-28,Climate & Environment,0,-1.0
2023-09-04,Climate & Environment,0,-1.0
2023-09-11,Climate & Environment,0,-1.0
2023-09-18,Climate & Environment,0,-1.0
2023-09-25,Climate & Environment,0,-1.0
2023-10-02,Climate & Environment,0,-1.0
2023-10-09,Climate & Environment,0,-1.0
2023-10-16,Climate & Environment,0,-1.0
2023-10-23,Climate & Environment,0,-1.0
2023-10-30,Climate & Environment,0,-1.0
2023-11-06,Climate & Environment,0,-1.0
2023-11-13,Climate & Environment,0,-1.0
2023-11-20,Climate & Environment,0,-1.0
2023-11-27,Climate & Environment,0,-1.0
2023-12-04,Climate & Environment,0,-1.0
2023-12-11,Climate & Environment,0,-1.0
2023-12-18,Climate & Environment,0,-1.0
2023-12-25,Climate & Environment,0,-1.0
2024-01-01,Climate & Environment,0,-1.0
2024-01-08,Climate & Environment,0,-1.0
2024-01-15,Climate & Environment,0,-1.0
2024-01-22,Climate & Environment,0,-1.0
2024-01-29,Climate & Environment,0,-1.0
2024-02-05,Climate & Environment,0,-1.0
2024-02-12,Climate & Environment,0,-1.0
2024-02-19,Climate & Environment,0,-1.0
2024-02-26,Climate & Environment,0,-1.0
2024-03-04,Climate & Environment,0,-1.0
2024-03-11,Climate & Environment,0,-1.0
2024-03-18,Climate & Environment,0,-1.0
2024-03-25,Climate & Environment,0,-1.0
2024-04-01,Climate & Environment,0,-1.0
2024-04-08,Climate & Environment,0,-1.0
2024-04-15,Climate & Environment,0,-1.0
2024-04-22,Climate & Environment,0,-1.0
2024-04-29,Climate & Environment,0,-1.0
2024-05-06,Climate & Environment,0,-1.0
2024-05-13,Climate & Environment,0,-1.0
2024-05-20,Climate & Environment,0,-1.0
2024-05-27,Climate & Environment,0,-1.0
2024-06-03,Climate & Environment,0,-1.0
2024-06-10,Climate & Environment,0,-1.0
2024-06-17,Climate & Environment,0,-1.0
2024-06-24,Climate & Environment,0,-1.0
2024-07-01,Climate & Environment,0,-1.0
2024-07-08,Climate & Environment,0,-1.0
2024-07-15,Climate & Environment,0,-1.0
2024-07-22,Climate & Environment,0,-1.0
2024-07-29,Climate & Environment,0,-1.0
2024-08-05,Climate & Environment,0,-1.0
2024-08-12,Climate & Environment,0,-1.0
2024-08-19,Climate & Environment,0,-1.0
2024-08-26,Climate & Environment,0,-1.0
2024-09-02,Climate & Environment,0,-1.0
2024-09-09,Climate & Environment,0,-1.0
2024-09-16,Climate & Environment,0,-1.0
2024-09-23,Climate & Environment,0,-1.0
2024-09-30,Climate & Environment,0,-1.0
2024-10-07,Climate & Environment,0,-1.0
2024-10-14,Climate & Environment,0,-1.0
2024-10-21,Climate & Environment,0,-1.0
2024-10-28,Climate & Environment,0,-1.0
2024-11-04,Climate & Environment,1,1.9999996400000435
2024-11-11,Climate & Environment,0,1.9999996400000435
2024-11-18,Climate & Environment,1,1.9999998200000109
2024-11-25,Climate & Environment,0,1.9999998200000109
2024-12-02,Climate & Environment,0,0.49999991000000543
2024-12-09,Climate & Environment,0,0.49999991000000543
2024-12-16,Climate & Environment,0,-1.0
2024-12-23,Climate & Environment,0,-1.0
2024-12-30,Climate & Environment,0,-1.0
2025-01-06,Climate & Environment,0,-1.0
2025-01-13,Climate & Environment,1,-3.999999842463353e-08
2025-01-20,Climate & Environment,0,-3.999999842463353e-08
2025-01-27,Climate & Environment,0,0.49999991000000543
2025-02-03,Climate & Environment,1,0.9999999200000032
2025-02-10,Climate & Environment,0,0.49999991000000543
2025-02-17,Climate & Environment,0,0.49999991000000543
2025-02-24,Climate & Environment,0,0.49999991000000543
2025-03-03,Climate & Environment,2,0.4999999550000014
2025-03-10,Climate & Environment,0,0.4999999550000014
2025-03-17,Climate & Environment,1,0.7999999568000009
2025-03-24,Climate & Environment,0,0.7999999568000009
2025-03-31,Climate & Environment,0,-0.40000001439999966
2025-04-07,Climate & Environment,0,-0.2500000224999993
2025-04-14,Climate & Environment,0,-1.0
2025-04-21,Climate & Environment,0,-1.0
2025-04-28,Climate & Environment,0,-1.0
2025-05-05,Climate & Environment,0,-1.0
2025-05-12,Climate & Environment,0,-1.0
2025-05-19,Climate & Environment,0,-1.0
2025-05-26,Climate & Environment,0,-1.0
2025-06-02,Climate & Environment,0,-1.0
2025-06-09,Climate & Environment,0,-1.0
2025-06-16,Climate & Environment,0,-1.0
2025-06-23,Climate & Environment,0,-1.0
2025-06-30,Climate & Environment,0,-1.0
2025-07-07,Climate & Environment,0,-1.0
2025-07-14,Climate & Environment,0,-1.0
2025-07-21,Climate & Environment,0,-1.0
2025-07-28,Climate & Environment,0,-1.0
2025-08-04,Climate & Environment,0,-1.0
2025-08-11,Climate & Environment,0,-1.0
2025-08-18,Climate & Environment,0,-1.0
2025-08-25,Climate & Environment,0,-1.0
2025-09-01,Climate & Environment,0,-1.0
2025-09-08,Climate & Environment,0,-1.0
2025-09-15,Climate & Environment,0,-1.0
2025-09-22,Climate & Environment,0,-1.0
2025-09-29,Climate & Environment,0,-1.0
2025-10-06,Climate & Environment,0,-1.0
2025-10-13,Climate & Environment,0,-1.0
2025-10-20,Climate & Environment,0,-1.0
2025-10-27,Climate & Environment,0,-1.0
2025-11-03,Climate & Environment,0,-1.0
2025-11-10,Climate & Environment,0,-1.0
2025-11-17,Climate & Environment,0,-1.0
2025-11-24,Climate & Environment,0,-1.0
2025-12-01,Climate & Environment,0,-1.0
2025-12-08,Climate & Environment,0,-1.0
2025-12-15,Climate & Environment,0,-1.0
2025-12-22,Climate & Environment,0,-1.0
2025-12-29,Climate & Environment,0,-1.0
2026-01-05,Climate & Environment,0,-1.0
2026-01-12,Climate & Environment,0,-1.0
2026-01-19,Climate & Environment,0,-1.0
2026-01-26,Climate & Environment,1,1.9999996400000435
2026-02-02,Climate & Environment,2,1.9999998800000047
2026-02-09,Climate & Environment,1,1.9999999100000028
2026-02-16,Climate & Environment,0,1.9999999100000028
2026-02-23,Climate & Environment,0,1.249999932500002
2026-03-02,Climate & Environment,0,-0.2500000224999993
2026-03-09,Climate & Environment,0,-1.0
2026-03-16,Climate & Environment,1,-0.40000001439999966
2026-03-23,Climate & Environment,0,-0.40000001439999966
2026-03-30,Climate & Environment,0,-0.40000001439999966
2026-04-06,Climate & Environment,0,-0.40000001439999966
2026-04-13,Climate & Environment,1,-0.5000000099999998
2026-04-20,Climate & Environment,0,-0.40000001439999966
2026-04-27,Climate & Environment,0,-3.999999842463353e-08
2026-05-04,Climate & Environment,0,0.49999991000000543
2026-05-11,Climate & Environment,0,-1.0
